"Rk","Player","Age","Team","conference","division","Pos","Pos_cat","G","GS","GS.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","all_star","rank_topbottom10"
53,"Saddiq Bey",26,"NOP","West","Southwest","SF","SF",53,45,0.849,1622,6.9,15.2,0.455,2.3,6.6,0.355,4.6,8.6,0.532,0.532,4.1,4.7,0.86,1.9,4.9,6.8,3,1.1,0.1,1,1.4,20.3,"",0,NA
54,"Russell Westbrook",37,"SAC","West","Pacific","SF","SF",56,50,0.893,1617,7.1,16.4,0.431,2.5,7.4,0.338,4.5,8.9,0.507,0.507,2.4,3.4,0.706,1.6,5.2,6.8,7.9,1.6,0.2,4.3,3,19,"",0,NA
55,"Kris Dunn",31,"LAC","West","Pacific","PG","PG",58,52,0.897,1613,3.8,7.9,0.483,1.3,3.5,0.369,2.5,4.4,0.573,0.565,1.3,1.6,0.781,1,3,4,4.6,1.9,0.2,1.8,3.1,10.2,"",0,NA
56,"Bub Carrington",20,"WAS","East","Southeast","PG","PG",58,29,0.5,1611,4.4,11.3,0.393,2.6,6.7,0.381,1.9,4.6,0.41,0.506,1.2,1.7,0.733,0.6,4.2,4.8,5.9,0.8,0.3,3.1,2.9,12.7,"",0,NA
57,"Deni Avdija",25,"POR","West","Northwest","SF","SF",48,48,1,1608,8,17.4,0.463,2.3,6.7,0.341,5.8,10.7,0.54,0.529,7.9,9.9,0.8,1.2,6.4,7.6,7.1,0.9,0.6,4.1,2.8,26.3,"AS",1,NA
59,"A.J. Green",26,"MIL","East","Central","SG","SG",53,53,1,1601,4,9.4,0.432,3.6,8.4,0.425,0.5,1,0.488,0.622,0.7,0.8,0.806,0.3,2.8,3.1,2.5,0.7,0.1,1,2.9,12.3,"",0,NA
60,"Harrison Barnes",33,"SAS","West","Southwest","PF","PF",59,49,0.831,1594,4.7,10.6,0.443,2.5,6.6,0.374,2.2,4,0.557,0.56,1.9,2.2,0.845,1.2,2.7,3.9,2.8,0.9,0.2,1.2,1.6,13.7,"",0,NA
61,"De'Aaron Fox",28,"SAS","West","Southwest","PG","PG",50,50,1,1580,8.1,16.7,0.484,2.2,6.3,0.351,5.9,10.4,0.563,0.55,3.3,4.3,0.766,0.6,3.7,4.3,7,1.4,0.3,2.7,2.6,21.7,"AS",1,NA
64,"Max Christie",22,"DAL","West","Southwest","SG","SG",53,44,0.83,1570,5.5,11.9,0.465,2.9,6.9,0.422,2.6,4.9,0.526,0.589,2.1,2.4,0.874,0.3,3.9,4.2,2.7,0.6,0.4,1.4,1.8,16.1,"",0,NA
66,"Nic Claxton",26,"BRK","East","Atlantic","C","C",53,52,0.981,1551,6.4,10.7,0.592,0.1,0.4,0.188,6.3,10.4,0.606,0.595,2.7,4.5,0.611,3.1,5.8,8.9,5,0.9,1.5,1.7,3,15.5,"",0,NA
68,"Cason Wallace",22,"OKC","West","Northwest","SG","SG",57,47,0.825,1547,4.5,10.4,0.434,1.9,5.3,0.36,2.6,5.1,0.511,0.526,0.8,1.1,0.75,1.2,3,4.2,3.4,2.7,0.3,1.3,2.7,11.8,"",0,NA
69,"Duncan Robinson",31,"DET","East","Central","SF","SF",55,55,1,1539,5.3,12.2,0.437,3.8,9.5,0.4,1.5,2.7,0.57,0.593,1.4,1.9,0.763,0.5,2.9,3.4,2.5,0.8,0.4,0.9,2.7,15.9,"",0,NA
70,"Jeremiah Fears",19,"NOP","West","Southwest","PG","PG",60,44,0.733,1532,7,16.5,0.425,1.5,4.6,0.318,5.5,11.9,0.465,0.469,3,3.8,0.783,1,4.2,5.2,4.5,1.8,0.4,3.1,2.5,18.4,"",0,NA
71,"Jake LaRavia",24,"LAL","West","Pacific","PF","PF",58,33,0.569,1532,4.4,9.4,0.468,1.5,4.6,0.328,2.9,4.9,0.599,0.547,2.2,2.8,0.773,1.9,3.5,5.4,2.5,1.7,0.7,1.5,3.1,12.5,"",0,NA
72,"Dillon Brooks",30,"PHO","West","Pacific","SF","SF",50,50,1,1530,9,20.5,0.44,2.8,8,0.343,6.3,12.5,0.502,0.507,3.8,4.4,0.856,0.9,3.4,4.3,2.1,1.2,0.2,2.1,3.9,24.6,"",0,NA
73,"Chet Holmgren",23,"OKC","West","Northwest","PF","PF",52,52,1,1520,7.8,14.1,0.552,1.5,4.3,0.352,6.3,9.8,0.64,0.606,4.1,5.2,0.789,2.3,8.5,10.8,2.1,0.6,2.4,1.9,2.9,21.2,"AS",1,NA
74,"Derik Queen",21,"NOP","West","Southwest","C","C",59,45,0.763,1518,6.5,13.3,0.488,0.4,1.4,0.271,6.1,11.9,0.513,0.502,3.6,4.6,0.77,2.4,7.8,10.2,5.6,1.4,1.3,3.3,4,17,"",0,NA
75,"Donovan Clingan",21,"POR","West","Northwest","C","C",55,55,1,1518,6,11.3,0.531,1.4,4.2,0.337,4.6,7.1,0.643,0.593,2.1,3.2,0.667,6,9,15.1,2.8,0.7,1.9,1.5,2.9,15.5,"",0,NA
76,"Michael Porter Jr.",27,"BRK","East","Atlantic","SF","SF",46,46,1,1509,9.5,20.3,0.47,3.8,10.2,0.369,5.7,10,0.572,0.563,4.2,4.8,0.861,1.5,6.4,7.8,3.5,1.1,0.3,2.6,2.4,27,"",0,NA
77,"Jaylon Tyson",23,"CLE","East","Central","SG","SG",55,36,0.655,1507,6.7,13.4,0.503,2.6,5.7,0.456,4.1,7.6,0.538,0.6,1.7,2.2,0.772,2.6,4.6,7.1,2.9,1.1,0.5,2,3.3,17.7,"",0,NA
78,"Peyton Watson",23,"DEN","West","Northwest","SF","SF",49,39,0.796,1502,6.3,12.8,0.496,1.8,4.3,0.417,4.5,8.4,0.537,0.567,3.1,4.2,0.727,1.1,4.7,5.8,2.3,1.2,1.4,2.1,2.9,17.5,"",0,NA
79,"Jaylen Wells",22,"MEM","West","Southwest","SG","SG",56,56,1,1501,5.7,13.6,0.42,2.4,7,0.34,3.4,6.7,0.504,0.507,2.6,3.4,0.775,1.2,3.3,4.5,2.3,1.1,0.2,1.6,2.9,16.5,"",0,NA
80,"Myles Turner",29,"MIL","East","Central","C","C",53,53,1,1495,5.4,12.2,0.445,2.7,7.1,0.384,2.7,5.2,0.528,0.556,2.5,3.3,0.75,1.5,5.6,7.2,2,0.9,2.1,1.4,3.3,16.1,"",0,NA
81,"OG Anunoby",28,"NYK","East","Atlantic","PF","PF",45,45,1,1493,6.2,13.2,0.467,2.1,6.1,0.349,4,7.1,0.57,0.548,2.9,3.6,0.795,1.5,4.3,5.8,2.5,1.9,0.8,2.1,2.7,17.4,"",0,NA
82,"Andrew Nembhard",26,"IND","East","Central","PG","PG",47,47,1,1489,6.9,15.6,0.441,2.2,6.1,0.369,4.6,9.5,0.487,0.513,3.8,4.6,0.821,0.5,2.7,3.2,8.4,1,0.2,2.9,2.5,19.8,"",0,NA
